pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,13,6,43.47376931369026,-110.76350691568915,2024-06-01,13,9,43.47556593604024,-110.76845110811712,647,195,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,6,43.47646424721523,-110.74373014597728,2024-06-01,13,13,43.4800574919152,-110.76350691568915,2148,381,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,14,43.47376931369026,-110.7560906270472,2024-06-01,13,20,43.4800574919152,-110.76103481947517,1352,348,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,16,43.47376931369026,-110.7560906270472,2024-06-01,13,23,43.479159180740204,-110.76968715622411,1927,420,2,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,21,43.4800574919152,-110.76103481947517,2024-06-01,13,25,43.479159180740204,-110.76597901190314,550,205,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,28,43.48275242544017,-110.75856272326118,2024-06-01,13,37,43.471074380165284,-110.77957554108005,2563,524,2,No,Rider App,On-Demand,On-Demand
2024-06-01,13,32,43.48185411426518,-110.76474296379615,2024-06-01,13,37,43.47826086956522,-110.76350691568915,641,292,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,39,43.4800574919152,-110.76103481947517,2024-06-01,13,43,43.47826086956522,-110.77092320433111,890,208,1,No,Rider App,On-Demand,On-Demand
2024-06-01,13,43,43.4800574919152,-110.76597901190314,2024-06-01,13,47,43.47197269134028,-110.77092320433111,1263,261,2,No,Rider App,On-Demand,On-Demand
2024-06-01,13,55,43.4800574919152,-110.76350691568915,2024-06-01,14,5,43.47646424721523,-110.74373014597728,2320,589,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,13,59,43.479159180740204,-110.76350691568915,2024-06-01,14,5,43.47646424721523,-110.74620224219126,1844,368,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,5,43.477362558390226,-110.75732667515419,2024-06-01,14,6,43.47376931369026,-110.75979877136818,631,118,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,5,43.4800574919152,-110.76597901190314,2024-06-01,14,7,43.471074380165284,-110.77092320433111,1502,164,3,No,Rider App,On-Demand,On-Demand
2024-06-01,14,11,43.4800574919152,-110.76103481947517,2024-06-01,14,16,43.48814229249012,-110.76350691568915,1009,281,2,No,Rider App,On-Demand,On-Demand
2024-06-01,14,13,43.4800574919152,-110.76597901190314,2024-06-01,14,16,43.48275242544017,-110.76227086758216,578,159,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,14,43.47376931369026,-110.76103481947517,2024-06-01,14,17,43.47826086956522,-110.76968715622411,1177,191,4,No,Rider App,On-Demand,On-Demand
2024-06-01,14,24,43.4800574919152,-110.76597901190314,2024-06-01,14,26,43.477362558390226,-110.76968715622411,639,132,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,28,43.47197269134028,-110.76845110811712,2024-06-01,14,33,43.47646424721523,-110.76350691568915,985,272,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,30,43.4800574919152,-110.76103481947517,2024-06-01,14,37,43.47376931369026,-110.7560906270472,1350,424,2,No,Rider App,On-Demand,On-Demand
2024-06-01,14,35,43.47826086956522,-110.76350691568915,2024-06-01,14,41,43.47556593604024,-110.74496619408427,2136,382,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,42,43.4800574919152,-110.76597901190314,2024-06-01,14,44,43.48454904779015,-110.76350691568915,632,113,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,55,43.48275242544017,-110.76227086758216,2024-06-01,15,1,43.47556593604024,-110.75979877136818,1089,335,1,No,Rider App,On-Demand,On-Demand
2024-06-01,14,58,43.4800574919152,-110.76597901190314,2024-06-01,15,3,43.474667624865255,-110.75361853083321,1545,295,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,1,43.48634567014013,-110.76227086758216,2024-06-01,15,5,43.479159180740204,-110.74991038651224,1842,237,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,11,43.4800574919152,-110.76597901190314,2024-06-01,15,18,43.47646424721523,-110.74496619408427,2168,461,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,13,43.47376931369026,-110.7560906270472,2024-06-01,15,16,43.479159180740204,-110.76103481947517,970,183,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,17,43.48275242544017,-110.76227086758216,2024-06-01,15,20,43.479159180740204,-110.76350691568915,666,176,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,18,43.4800574919152,-110.76103481947517,2024-06-01,15,24,43.47376931369026,-110.7560906270472,1350,345,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,22,43.47826086956522,-110.76721506001013,2024-06-01,15,24,43.47197269134028,-110.76227086758216,1036,177,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,22,43.47556593604024,-110.74991038651224,2024-06-01,15,26,43.47826086956522,-110.76350691568915,1635,233,2,No,Rider App,On-Demand,On-Demand
2024-06-01,15,25,43.47376931369026,-110.7560906270472,2024-06-01,15,28,43.47646424721523,-110.74620224219126,1424,173,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,28,43.47376931369026,-110.7560906270472,2024-06-01,15,31,43.479159180740204,-110.76103481947517,970,152,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,31,43.474667624865255,-110.76597901190314,2024-06-01,15,35,43.4800574919152,-110.76103481947517,1259,262,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,37,43.47646424721523,-110.76597901190314,2024-06-01,15,41,43.4800574919152,-110.76103481947517,726,226,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,39,43.48275242544017,-110.76227086758216,2024-06-01,15,45,43.47197269134028,-110.77092320433111,2077,372,1,No,Rider App,On-Demand,On-Demand
